CODE,CATEGORY_CODE,THEME_CODE,LABEL,COLOR,,
1,A,VII,Paging,0F6111,,
2,A,IX,Print,F113D1,,
3,A,V,Eclipsys - Logging in,171D87,,
4,A,III,Eclipsys - Patient List,0A7CF5,,
5,A,III,Eclipsys - Clearing flags,0A7CF5,,
6,A,III,Eclipsys - Orders (read),0A7CF5,,
7,A,V,Eclipsys - Orders (write),171D87,,
8,A,II,Eclipsys - Orders (write): Discharge Summary,0AD8F5,,
9,A,III,Eclipsys - Results,0A7CF5,,
10,A,III,Eclipsys - Documents (read),0A7CF5,,
11,A,III,Eclipsys - Documents (read note),0A7CF5,,
12,A,III,Eclipsys - Flowsheets,0A7CF5,,
13,A,III,Eclipsys - Patient Info,0A7CF5,,
14,A,III,Eclipsys - Summary,0A7CF5,,
15,A,III,Eclipsys - Clinical Summary,0A7CF5,,
16,A,III,Eclipsys - OR manager,0A7CF5,,
17,A,III,Eclipsys - WebCIS,0A7CF5,,
18,A,III,Eclipsys - Dose Hx,0A7CF5,,
19,A,III,Eclipsys - Patient Handoff,0A7CF5,,
20,A,III,Eclipsys - Data Visualization,0A7CF5,,
21,A,III,Eclipsys - Rx,0A7CF5,,
22,A,V,Eclipsys - Other,171D87,,
23,A,III,WebCIS - Data,0A7CF5,,
24,A,V,WebCIS - Logging in,171D87,,
25,A,III,WebCIS - Notes,0A7CF5,,
26,A,V,WebCIS - Other,171D87,,
27,A,III,PAC,0A7CF5,,
28,A,IV,Up to Date,0A17F5,,
29,A,IV,Wikipedia,0A17F5,,
30,A,IIX,Email,6C0B98,,
31,A,IV,Google,0A17F5,,
32,A,V,Schedule (clinic),171D87,,
33,A,V,Other,171D87,,
40,B,II,Eclipsys  - Documents (write),0AD8F5,,
41,B,II,Admission note,0AD8F5,,
42,B,II,Progress note,0AD8F5,,
43,B,II,Sign-out,0AD8F5,,
44,B,II,Discharge note,0AD8F5,,
45,B,II,Typing,0AD8F5,,
46,B,II,Copy/paste,0AD8F5,,
47,B,II,Smart paste: Common Labs,0AD8F5,,
48,B,II,Smart paste: Meds,0AD8F5,,
49,B,II,Smart paste: Notes,0AD8F5,,
50,B,II,Smart paste: Templates,0AD8F5,,
51,B,II,Smart paste: Vital Signs,0AD8F5,,
52,B,II,Smart paste: Other,0AD8F5,,
60,C,VII,Sign-out finding (read),0F6111,,
61,C,VI,Sign-out finding (write),2DD515,,
62,C,VII,Sign-out To Do (read),0F6111,,
63,C,VI,Sign-out To Do (write),2DD515,,
64,C,VII,"Reading (EKG, etc.)",0F6111,,
65,C,VII,Book reference,0F6111,,
66,C,VII,Article,0F6111,,
67,C,VII,Printed Note,0F6111,,
68,C,VII,Chart,0F6111,,
69,C,VII,Phone list,0F6111,,
70,C,VII,Other,0F6111,,
80,D,IIX,Dialing,6C0B98,,
81,D,IIX,Incoming,6C0B98,,
82,D,IIX,Waiting,6C0B98,,
83,D,IIX,Returning page,6C0B98,,
84,D,IIX,Incoming page,6C0B98,,
85,D,IIX,Team member,6C0B98,,
86,D,IIX,Getting results,6C0B98,,
87,D,IIX,Patient,6C0B98,,
88,D,IIX,Patient family,6C0B98,,
89,D,IIX,Consultant,6C0B98,,
90,D,IIX,Scheduling test,6C0B98,,
91,D,IIX,PCP/other providers,6C0B98,,
92,D,IIX,Scheduling follow-up,6C0B98,,
100,E,IIX,Listening,6C0B98,,
101,E,IIX,Presenting,6C0B98,,
102,E,IIX,Answering questions,6C0B98,,
103,E,IIX,Asking questions,6C0B98,,
104,E,IIX,Making comments,6C0B98,,
110,F,IIX,Nurse,6C0B98,,
111,F,IIX,Case manager,6C0B98,,
112,F,IIX,Social worker,6C0B98,,
113,F,IIX,Team member,6C0B98,,
114,F,IIX,Other residents,6C0B98,,
115,F,IIX,Attending,6C0B98,,
116,F,IIX,Consultant,6C0B98,,
117,F,IIX,Patient,6C0B98,,
118,F,IIX,Patient family,6C0B98,,
120,G,I,Enter,F55D0A,,
121,G,I,Verbal Assessment,F55D0A,,
122,G,I,Education,F55D0A,,
123,G,I,Physical Exam,F55D0A,,
124,G,I,Draw blood,F55D0A,,
125,G,I,Patient family - Education,F55D0A,,
126,G,I,Patient family - Interview,F55D0A,,
127,G,I,Other,F55D0A,,
130,H,IX,Computer,F113D1,,
131,H,IX,Colleague,F113D1,,
132,H,IX,Phone number,F113D1,,
133,H,IX,Chart,F113D1,,
134,H,IX,Other,F113D1,,
140,I,IX,Walking,F113D1,,
141,I,IX,Picking up print out,F113D1,,
142,I,IX,Phone,F113D1,,
143,I,IX,Computer,F113D1,,
144,I,IX,Patient,F113D1,,
145,I,IX,Other,F113D1,,
150,J,X,Eating,A096AB,,
151,J,X,Restroom,A096AB,,
152,J,X,Email,A096AB,,
153,J,X,Palm/Diary,A096AB,,
154,J,X,Phone,A096AB,,
155,J,X,Idle,A096AB,,
156,J,X,Other,A096AB,,
